time,P,G(i),H_sun,T2m,WS10m,Int
2023-01-01 00:10:00,0.0,0.0,0.0,9.14,2.9,0.0
2023-01-01 01:10:00,0.0,0.0,0.0,9.13,2.9,0.0
2023-01-01 02:10:00,0.0,0.0,0.0,9.09,2.76,0.0
2023-01-01 03:10:00,0.0,0.0,0.0,9.04,2.76,0.0
2023-01-01 04:10:00,0.0,0.0,0.0,9.0,2.76,0.0
2023-01-01 05:10:00,0.0,0.0,0.0,9.18,2.9,0.0
2023-01-01 06:10:00,0.0,0.0,0.0,9.11,2.9,0.0
2023-01-01 07:10:00,0.0,0.0,0.0,9.14,2.9,0.0
2023-01-01 08:10:00,41982.729999999996,439.87,6.7,9.4,2.83,0.0
2023-01-01 09:10:00,64764.59,646.1800000000001,12.38,10.62,2.9,0.0
2023-01-01 10:10:00,99187.65,994.02,16.11,12.22,2.83,0.0
2023-01-01 11:10:00,87618.01,891.87,17.54,13.4,2.28,0.0
2023-01-01 12:10:00,53061.8,566.26,16.52,14.22,2.34,0.0
2023-01-01 13:10:00,42866.32,460.59000000000003,13.17,14.45,2.62,0.0
2023-01-01 14:10:00,14516.25,189.51999999999998,7.79,13.79,2.14,0.0
2023-01-01 15:10:00,0.0,0.0,0.0,12.18,2.14,0.0
2023-01-01 16:10:00,0.0,0.0,0.0,10.47,2.34,0.0
2023-01-01 17:10:00,0.0,0.0,0.0,9.33,2.41,0.0
2023-01-01 18:10:00,0.0,0.0,0.0,8.49,2.41,0.0
2023-01-01 19:10:00,0.0,0.0,0.0,8.36,2.41,0.0
2023-01-01 20:10:00,0.0,0.0,0.0,7.86,2.48,0.0
2023-01-01 21:10:00,0.0,0.0,0.0,7.51,2.55,0.0
2023-01-01 22:10:00,0.0,0.0,0.0,7.31,2.69,0.0
2023-01-01 23:10:00,0.0,0.0,0.0,7.16,2.69,0.0
2023-01-02 00:10:00,0.0,0.0,0.0,6.94,2.55,0.0
2023-01-02 01:10:00,0.0,0.0,0.0,6.52,2.34,0.0
2023-01-02 02:10:00,0.0,0.0,0.0,6.11,2.34,0.0
2023-01-02 03:10:00,0.0,0.0,0.0,5.74,2.34,0.0
2023-01-02 04:10:00,0.0,0.0,0.0,5.37,2.21,0.0
2023-01-02 05:10:00,0.0,0.0,0.0,4.97,2.14,0.0
2023-01-02 06:10:00,0.0,0.0,0.0,4.59,2.14,0.0
2023-01-02 07:10:00,0.0,0.0,0.0,4.95,2.34,0.0
2023-01-02 08:10:00,9828.8,136.64,6.72,5.08,2.28,0.0
2023-01-02 09:10:00,56567.69,565.37,12.43,6.33,2.0,0.0
2023-01-02 10:10:00,104278.45,1031.42,16.17,7.89,1.72,0.0
2023-01-02 11:10:00,112783.65,1128.05,17.62,9.72,1.66,0.0
2023-01-02 12:10:00,109408.06000000001,1105.1100000000001,16.62,11.08,1.38,0.0
2023-01-02 13:10:00,86054.45000000001,845.95,13.29,11.72,1.38,0.0
2023-01-02 14:10:00,61489.39,623.06,7.91,11.57,1.93,0.0
2023-01-02 15:10:00,0.0,0.0,0.0,10.58,2.41,0.0
2023-01-02 16:10:00,0.0,0.0,0.0,9.56,2.62,0.0
2023-01-02 17:10:00,0.0,0.0,0.0,9.03,2.62,0.0
2023-01-02 18:10:00,0.0,0.0,0.0,8.5,2.62,0.0
2023-01-02 19:10:00,0.0,0.0,0.0,8.5,2.9,0.0
2023-01-02 20:10:00,0.0,0.0,0.0,8.76,3.17,0.0
2023-01-02 21:10:00,0.0,0.0,0.0,9.13,3.38,0.0
2023-01-02 22:10:00,0.0,0.0,0.0,8.79,3.24,0.0
2023-01-02 23:10:00,0.0,0.0,0.0,8.12,2.97,0.0
2023-01-03 00:10:00,0.0,0.0,0.0,7.89,2.76,0.0
2023-01-03 01:10:00,0.0,0.0,0.0,7.53,2.55,0.0
2023-01-03 02:10:00,0.0,0.0,0.0,7.23,2.34,0.0
2023-01-03 03:10:00,0.0,0.0,0.0,6.89,2.21,0.0
2023-01-03 04:10:00,0.0,0.0,0.0,6.56,2.07,0.0
