Latitude (decimal degrees):	49.445
Longitude (decimal degrees):	11.859
Elevation (m):	379
Radiation database:	PVGIS-SARAH3


Slope: 30 deg. 
Azimuth: -90 deg. 
Nominal power of the PV system (c-Si) (kWp):	106.8
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,9.14,2.9,0.0
20230101:0110,0.0,0.0,0.0,9.13,2.9,0.0
20230101:0210,0.0,0.0,0.0,9.09,2.76,0.0
20230101:0310,0.0,0.0,0.0,9.04,2.76,0.0
20230101:0410,0.0,0.0,0.0,9.0,2.76,0.0
20230101:0510,0.0,0.0,0.0,9.18,2.9,0.0
20230101:0610,0.0,0.0,0.0,9.11,2.9,0.0
20230101:0710,0.0,0.0,0.0,9.14,2.9,0.0
20230101:0810,16261.37,194.61,6.7,9.4,2.83,0.0
20230101:0910,20782.21,245.0,12.38,10.62,2.9,0.0
20230101:1010,26095.51,313.25,16.11,12.22,2.83,0.0
20230101:1110,17388.11,222.83,17.54,13.4,2.28,0.0
20230101:1210,10363.87,139.38,16.52,14.22,2.34,0.0
20230101:1310,6715.58,91.41,13.17,14.45,2.62,0.0
20230101:1410,2747.96,45.25,7.79,13.79,2.14,0.0
20230101:1510,0.0,0.0,0.0,12.18,2.14,0.0
20230101:1610,0.0,0.0,0.0,10.47,2.34,0.0
20230101:1710,0.0,0.0,0.0,9.33,2.41,0.0
20230101:1810,0.0,0.0,0.0,8.49,2.41,0.0
20230101:1910,0.0,0.0,0.0,8.36,2.41,0.0
20230101:2010,0.0,0.0,0.0,7.86,2.48,0.0
20230101:2110,0.0,0.0,0.0,7.51,2.55,0.0
20230101:2210,0.0,0.0,0.0,7.31,2.69,0.0
20230101:2310,0.0,0.0,0.0,7.16,2.69,0.0
20230102:0010,0.0,0.0,0.0,6.94,2.55,0.0
20230102:0110,0.0,0.0,0.0,6.52,2.34,0.0
20230102:0210,0.0,0.0,0.0,6.11,2.34,0.0
20230102:0310,0.0,0.0,0.0,5.74,2.34,0.0
20230102:0410,0.0,0.0,0.0,5.37,2.21,0.0
20230102:0510,0.0,0.0,0.0,4.97,2.14,0.0
20230102:0610,0.0,0.0,0.0,4.59,2.14,0.0
20230102:0710,0.0,0.0,0.0,4.95,2.34,0.0
20230102:0810,3276.62,50.12,6.72,5.08,2.28,0.0
20230102:0910,18050.27,211.32,12.43,6.33,2.0,0.0
20230102:1010,27553.33,325.4,16.17,7.89,1.72,0.0
20230102:1110,20036.75,258.99,17.62,9.72,1.66,0.0
20230102:1210,8596.33,149.66,16.62,11.08,1.38,0.0
20230102:1310,3922.76,58.83,13.29,11.72,1.38,0.0
20230102:1410,1899.97,34.39,7.91,11.57,1.93,0.0
20230102:1510,0.0,0.0,0.0,10.58,2.41,0.0
20230102:1610,0.0,0.0,0.0,9.56,2.62,0.0
20230102:1710,0.0,0.0,0.0,9.03,2.62,0.0
20230102:1810,0.0,0.0,0.0,8.5,2.62,0.0
20230102:1910,0.0,0.0,0.0,8.5,2.9,0.0
20230102:2010,0.0,0.0,0.0,8.76,3.17,0.0
20230102:2110,0.0,0.0,0.0,9.13,3.38,0.0
20230102:2210,0.0,0.0,0.0,8.79,3.24,0.0
20230102:2310,0.0,0.0,0.0,8.12,2.97,0.0
20230103:0010,0.0,0.0,0.0,7.89,2.76,0.0
20230103:0110,0.0,0.0,0.0,7.53,2.55,0.0
20230103:0210,0.0,0.0,0.0,7.23,2.34,0.0
20230103:0310,0.0,0.0,0.0,6.89,2.21,0.0
20230103:0410,0.0,0.0,0.0,6.56,2.07,0.0
20230103:0510,0.0,0.0,0.0,6.33,1.79,0.0
20230103:0610,0.0,0.0,0.0,6.1,1.66,0.0
20230103:0710,0.0,0.0,0.0,5.83,1.59,0.0
20230103:0810,19369.25,225.94,6.76,5.87,1.24,0.0
20230103:0910,29017.56,332.44,12.48,6.03,1.24,0.0
20230103:1010,21512.72,252.61,16.25,6.13,1.17,0.0
20230103:1110,18808.55,233.05,17.71,6.3,1.1,0.0
20230103:1210,10048.81,127.55,16.73,6.55,1.31,0.0
20230103:1310,7294.44,95.03,13.41,6.9,1.79,0.0
20230103:1410,2845.15,45.25,8.04,7.01,1.72,0.0
20230103:1510,0.0,0.0,0.0,6.65,1.03,0.0
20230103:1610,0.0,0.0,0.0,5.81,1.38,0.0
20230103:1710,0.0,0.0,0.0,5.09,1.45,0.0
20230103:1810,0.0,0.0,0.0,4.34,1.66,0.0
20230103:1910,0.0,0.0,0.0,4.5,1.52,0.0
20230103:2010,0.0,0.0,0.0,3.44,1.59,0.0
20230103:2110,0.0,0.0,0.0,2.78,1.72,0.0
20230103:2210,0.0,0.0,0.0,2.39,1.79,0.0
20230103:2310,0.0,0.0,0.0,2.21,1.86,0.0
20230104:0010,0.0,0.0,0.0,1.65,1.86,0.0
20230104:0110,0.0,0.0,0.0,1.14,2.0,0.0
20230104:0210,0.0,0.0,0.0,1.57,2.07,0.0
20230104:0310,0.0,0.0,0.0,1.7,2.21,0.0
20230104:0410,0.0,0.0,0.0,1.87,2.41,0.0
20230104:0510,0.0,0.0,0.0,1.93,2.55,0.0
20230104:0610,0.0,0.0,0.0,1.93,2.69,0.0
20230104:0710,0.0,0.0,0.0,1.68,2.9,0.0
20230104:0810,862.94,19.87,6.8,2.3,3.1,0.0
20230104:0910,3244.58,49.19,12.54,3.37,3.38,0.0
20230104:1010,5517.29,74.73,16.33,4.42,3.59,0.0
20230104:1110,4131.02,59.6,17.81,5.16,3.79,0.0
20230104:1210,6434.7,85.14,16.85,5.89,4.07,0.0
