Latitude (decimal degrees):	49.445
Longitude (decimal degrees):	11.859
Elevation (m):	379
Radiation database:	PVGIS-SARAH3


Slope: 30 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	142.4
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,9.14,2.9,0.0
20230101:0110,0.0,0.0,0.0,9.13,2.9,0.0
20230101:0210,0.0,0.0,0.0,9.09,2.76,0.0
20230101:0310,0.0,0.0,0.0,9.04,2.76,0.0
20230101:0410,0.0,0.0,0.0,9.0,2.76,0.0
20230101:0510,0.0,0.0,0.0,9.18,2.9,0.0
20230101:0610,0.0,0.0,0.0,9.11,2.9,0.0
20230101:0710,0.0,0.0,0.0,9.14,2.9,0.0
20230101:0810,23580.02,208.15,6.7,9.4,2.83,0.0
20230101:0910,38439.46,324.25,12.38,10.62,2.9,0.0
20230101:1010,65811.58,552.61,16.11,12.22,2.83,0.0
20230101:1110,53918.34,456.52,17.54,13.4,2.28,0.0
20230101:1210,28213.71,246.79,16.52,14.22,2.34,0.0
20230101:1310,22910.74,204.2,13.17,14.45,2.62,0.0
20230101:1410,6916.37,73.86,7.79,13.79,2.14,0.0
20230101:1510,0.0,0.0,0.0,12.18,2.14,0.0
20230101:1610,0.0,0.0,0.0,10.47,2.34,0.0
20230101:1710,0.0,0.0,0.0,9.33,2.41,0.0
20230101:1810,0.0,0.0,0.0,8.49,2.41,0.0
20230101:1910,0.0,0.0,0.0,8.36,2.41,0.0
20230101:2010,0.0,0.0,0.0,7.86,2.48,0.0
20230101:2110,0.0,0.0,0.0,7.51,2.55,0.0
20230101:2210,0.0,0.0,0.0,7.31,2.69,0.0
20230101:2310,0.0,0.0,0.0,7.16,2.69,0.0
20230102:0010,0.0,0.0,0.0,6.94,2.55,0.0
20230102:0110,0.0,0.0,0.0,6.52,2.34,0.0
20230102:0210,0.0,0.0,0.0,6.11,2.34,0.0
20230102:0310,0.0,0.0,0.0,5.74,2.34,0.0
20230102:0410,0.0,0.0,0.0,5.37,2.21,0.0
20230102:0510,0.0,0.0,0.0,4.97,2.14,0.0
20230102:0610,0.0,0.0,0.0,4.59,2.14,0.0
20230102:0710,0.0,0.0,0.0,4.95,2.34,0.0
20230102:0810,4511.23,51.22,6.72,5.08,2.28,0.0
20230102:0910,32283.5,270.78,12.43,6.33,2.0,0.0
20230102:1010,69625.06,578.89,16.17,7.89,1.72,0.0
20230102:1110,74604.78,627.81,17.62,9.72,1.66,0.0
20230102:1210,73683.46,626.21,16.62,11.08,1.38,0.0
20230102:1310,54832.54,464.86,13.29,11.72,1.38,0.0
20230102:1410,36134.0,312.2,7.91,11.57,1.93,0.0
20230102:1510,0.0,0.0,0.0,10.58,2.41,0.0
20230102:1610,0.0,0.0,0.0,9.56,2.62,0.0
20230102:1710,0.0,0.0,0.0,9.03,2.62,0.0
20230102:1810,0.0,0.0,0.0,8.5,2.62,0.0
20230102:1910,0.0,0.0,0.0,8.5,2.9,0.0
20230102:2010,0.0,0.0,0.0,8.76,3.17,0.0
20230102:2110,0.0,0.0,0.0,9.13,3.38,0.0
20230102:2210,0.0,0.0,0.0,8.79,3.24,0.0
20230102:2310,0.0,0.0,0.0,8.12,2.97,0.0
20230103:0010,0.0,0.0,0.0,7.89,2.76,0.0
20230103:0110,0.0,0.0,0.0,7.53,2.55,0.0
20230103:0210,0.0,0.0,0.0,7.23,2.34,0.0
20230103:0310,0.0,0.0,0.0,6.89,2.21,0.0
20230103:0410,0.0,0.0,0.0,6.56,2.07,0.0
20230103:0510,0.0,0.0,0.0,6.33,1.79,0.0
20230103:0610,0.0,0.0,0.0,6.1,1.66,0.0
20230103:0710,0.0,0.0,0.0,5.83,1.59,0.0
20230103:0810,27911.82,240.75,6.76,5.87,1.24,0.0
20230103:0910,55382.21,458.32,12.48,6.03,1.24,0.0
20230103:1010,48034.37,397.0,16.25,6.13,1.17,0.0
20230103:1110,58140.5,480.84,17.71,6.3,1.1,0.0
20230103:1210,19202.64,169.5,16.73,6.55,1.31,0.0
20230103:1310,23614.19,203.68,13.41,6.9,1.79,0.0
20230103:1410,6030.64,64.48,8.04,7.01,1.72,0.0
20230103:1510,0.0,0.0,0.0,6.65,1.03,0.0
20230103:1610,0.0,0.0,0.0,5.81,1.38,0.0
20230103:1710,0.0,0.0,0.0,5.09,1.45,0.0
20230103:1810,0.0,0.0,0.0,4.34,1.66,0.0
20230103:1910,0.0,0.0,0.0,4.5,1.52,0.0
20230103:2010,0.0,0.0,0.0,3.44,1.59,0.0
20230103:2110,0.0,0.0,0.0,2.78,1.72,0.0
20230103:2210,0.0,0.0,0.0,2.39,1.79,0.0
20230103:2310,0.0,0.0,0.0,2.21,1.86,0.0
20230104:0010,0.0,0.0,0.0,1.65,1.86,0.0
20230104:0110,0.0,0.0,0.0,1.14,2.0,0.0
20230104:0210,0.0,0.0,0.0,1.57,2.07,0.0
20230104:0310,0.0,0.0,0.0,1.7,2.21,0.0
20230104:0410,0.0,0.0,0.0,1.87,2.41,0.0
20230104:0510,0.0,0.0,0.0,1.93,2.55,0.0
20230104:0610,0.0,0.0,0.0,1.93,2.69,0.0
20230104:0710,0.0,0.0,0.0,1.68,2.9,0.0
20230104:0810,1150.59,19.87,6.8,2.3,3.1,0.0
20230104:0910,4326.11,49.19,12.54,3.37,3.38,0.0
20230104:1010,7356.38,74.73,16.33,4.42,3.59,0.0
20230104:1110,5508.03,59.6,17.81,5.16,3.79,0.0
20230104:1210,8579.6,85.14,16.85,5.89,4.07,0.0
